intersection_name,osm_node_id,,,Google Earth Data,,,,OSM Generated Data,,,,UTDF Data,,,,OSM and Google Earth Data Comparison,,,,,UTDF and Google Earth Data Comparison,,,,,OSM and Google Earth Data KPI,,,,,UTDF and Google Earth Data KPI,,,,
,,mvmt_txt_id,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,
SR 95 & Laughlin Ranch,8523160344,EBT,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,EBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,EBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,EBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,WBL,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,WBT,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,WBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,WBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,WBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,NBL,,1,-114.582145,35.1228185,,1,-114.5823,35.12279,,?,,,,0,,0.000154997,2.84963E-05,,N/A,,,,,1,,,,,0,,,,
SR 95 & Silvercreek,175084962,NBT,,2,,,,1,,,,?,,,,1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,NBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Silvercreek,175084962,NBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,NBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,SBL,,2,,,,1,,,,?,,,,1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,SBT,,2,,,,1,,,,?,,,,1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,SBR,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,SBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,SBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,EBL,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,EBT,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,EBR,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,EBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,EBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,WBL,,2,,,,1,,,,?,,,,1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,WBT,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,WBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Silvercreek,175084962,WBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Silvercreek,175084962,WBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,NBL,,0,-114.577053,35.1269006,,1,-114.57706,35.12689999,,?,,,,-1,,6.96678E-06,6.13879E-07,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,NBT,,1,,,,1,,,,?,,,,1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,NBR,,0,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,NBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,NBTR,,1,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,SBL,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,SBT,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,SBR,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,SBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,SBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,EBL,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
SR 95 & Rancho Colorado,175244587,EBT,,0,,,,1,,,,?,,,,-1,,0,0,,N/A,,,,,0,,,,,0,,,,
